,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额.1,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
45,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
46,文景盛世,2026,1,,19,,1,,,8,,2,1000,,2700,,,,,,7200,,,0,0
47,文景盛世,2026,2,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
48,文景盛世,2026,3,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
49,文景盛世,2026,4,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
50,文景盛世,2026,5,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
51,文景盛世,2026,6,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
52,文景盛世,2026,7,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
53,文景盛世,2026,8,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
54,文景盛世,2026,9,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
55,文景盛世,2026,10,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
56,文景盛世,2026,11,,0,,0,,,0,,0,0,,0,,,,,,0,,,16177,
57,文景盛世,2026,12,,0,,0,,,0,,0,0,,0,,,,,,0,,,26604,
58,合计,,,0,19,,1,,,8,,2,1000,,2700,0,0,0,0,,7200,,,42781,2376.72222222222
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
